,actor,ciudad,nombres,representante
465,pablo-vázquez,no hay info,,Única Representaciones
466,pablo-vázquez,no hay info,,Única Representaciones
467,pablo-vázquez,no hay info,,Única Representaciones
468,pablo-vázquez,Casablanca,Premio Mejor,Única Representaciones
469,pablo-vázquez,Casablanca,Actor Secundario,Única Representaciones
470,pablo-vázquez,Casablanca,Teatro Internacional,Única Representaciones
471,pablo-vázquez,Sitges,La Guarida,Única Representaciones
472,pablo-vázquez,Sitges,Personaje Matías,Única Representaciones
473,alejandro-sigüenza,no hay info,Arte Dramático,Única Representaciones
474,alejandro-sigüenza,no hay info,,Única Representaciones
475,alejandro-sigüenza,no hay info,Técnica Chevoj,Única Representaciones
476,alejandro-sigüenza,no hay info,Carlos Aladro,Única Representaciones
477,alejandro-sigüenza,no hay info,Vicente Fuentes,Única Representaciones
478,alejandro-sigüenza,no hay info,Danza Histórica,Única Representaciones
479,alejandro-sigüenza,no hay info,Javier García,Única Representaciones
480,alejandro-sigüenza,no hay info,Percusión Antigua,Única Representaciones
481,alejandro-sigüenza,no hay info,Rodrigo Muñoz,Única Representaciones
482,alejandro-sigüenza,no hay info,El Movimiento,Única Representaciones
483,alejandro-sigüenza,no hay info,Norman Taylor,Única Representaciones
484,alejandro-sigüenza,no hay info,Creación Teatral,Única Representaciones
485,alejandro-sigüenza,no hay info,Santiago Sánchez,Única Representaciones
486,alejandro-sigüenza,no hay info,Mi Vida,Única Representaciones
487,alejandro-sigüenza,no hay info,,Única Representaciones
488,juanma-cifuentes,no hay info,,Única Representaciones
489,juanma-cifuentes,no hay info,,Única Representaciones
490,juanma-cifuentes,Madrid,,Única Representaciones
491,juanma-cifuentes,no hay info,,Única Representaciones
492,juanma-cifuentes,no hay info,,Única Representaciones
493,juanma-cifuentes,no hay info,,Única Representaciones
494,juanma-cifuentes,no hay info,,Única Representaciones
495,juanma-cifuentes,no hay info,,Única Representaciones
496,manu-hernández,Murcia,Arte Dramático,Única Representaciones
